Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
SN Junior Boys + 50kg,MALE,6,13,50.1,,,ORANGE,120,0,240
SN Junior Boys U 27kg,MALE,6,13,,27,,ORANGE,120,0,240
SN Junior Boys U 30kg,MALE,6,13,27.1,30,,ORANGE,120,0,240
SN Junior Boys U 34kg,MALE,6,13,30.1,34,,ORANGE,120,0,240
SN Junior Boys U 38kg,MALE,6,13,34.1,38,,ORANGE,120,0,240
SN Junior Boys U 42kg,MALE,6,13,38.1,42,,ORANGE,120,0,240
SN Junior Boys U 46kg,MALE,6,13,42.1,46,,ORANGE,120,0,240
SN Junior Boys U 50kg,MALE,6,13,46.1,50,,ORANGE,120,0,240
SN Junior Girls +52kg,FEMALE,6,13,52.1,,,ORANGE,120,0,240
SN Junior Girls U 29kg,FEMALE,6,13,,29,,ORANGE,120,0,240
SN Junior Girls U 32kg,FEMALE,6,13,29.1,32,,ORANGE,120,0,240
SN Junior Girls U 36kg,FEMALE,6,13,32.1,36,,ORANGE,120,0,240
SN Junior Girls U 40kg,FEMALE,6,13,36.1,40,,ORANGE,120,0,240
SN Junior Girls U 44kg,FEMALE,6,13,40.1,44,,ORANGE,120,0,240
SN Junior Girls U 48kg,FEMALE,6,13,44.1,48,,ORANGE,120,0,240
SN Junior Girls U 52kg,FEMALE,6,13,48.1,52,,ORANGE,120,0,240
SN Senior Men +100kg,MALE,14,,100.1,,,ORANGE,180,0,360
SN Senior Men Open,MALE,14,,,,,ORANGE,180,0,360
SN Senior Men U 60kg,MALE,14,,,60,,ORANGE,180,0,360
SN Senior Men U 66kg,MALE,14,,60.1,66,,ORANGE,180,0,360
SN Senior Men U 73kg,MALE,14,,66.1,73,,ORANGE,180,0,360
SN Senior Men U 81kg,MALE,14,,73.1,81,,ORANGE,180,0,360
SN Senior Men U 90kg,MALE,14,,81.1,90,,ORANGE,180,0,360
SN Senior Men U100kg,MALE,14,,90.1,100,,ORANGE,180,0,360
SN Senior Women + 78kg,FEMALE,14,,78.1,,,ORANGE,180,0,360
SN Senior Women Open,FEMALE,14,,,,,ORANGE,180,0,360
SN Senior Women U 48kg,FEMALE,14,,,48,,ORANGE,180,0,360
SN Senior Women U 52kg,FEMALE,14,,48.1,52,,ORANGE,180,0,360
SN Senior Women U 57kg,FEMALE,14,,52.1,57,,ORANGE,180,0,360
SN Senior Women U 63kg,FEMALE,14,,57.1,63,,ORANGE,180,0,360
SN Senior Women U 70kg,FEMALE,14,,63.1,70,,ORANGE,180,0,360
SN Senior Women U 78kg,FEMALE,14,,70.1,78,,ORANGE,180,0,360
